year,q_no,correct_number,correct_label,correct_text,explanation,difficulty,tags
2024,38,4,D,宅地建物取引業者Ｅ（丙県知事免許）の免許の更新に当たって、丙県知事は宅地建物取引 業法第 3 条の 2 に基づき条件を付すことができ、Ｅが免許の更新に当たって付された条件に 違反したときは、丙県知事はＥの免許を取り消すことができる。,"【結論】正解D（4）。
【根拠】免許更新に“条件付与”はできない。
【他肢】①②③は正規の運用。
【注意】免許に条件という発想が誤り。",3,R6;正解;D
2024,39,4,D,届出をすべき場所として、宅地建物取引業者が業務に関し展示会その他これに類する催し を実施する場所が定められているが、その催しを開始する 10 日前までに、実施場所を管轄 する都道府県知事に届け出なければならず、免許を受けた国土交通大臣又は都道府県知事に 届け出る必要はない。,"【結論】正解D（4）※誤り。
【根拠】展示会等の開催場所の届出先は開催地を管轄する都道府県知事。免許権者ではない。
【他肢】①②③は届出・除外の要件どおり。
【落とし穴】“どこに出すか”。",3,R6;正解;D
2024,40,2,B,イ、ウ,"【結論】正解B（2）＝イ・ウ。
【根拠】既存建物賃貸の37条書面：敷金等・違約金は必記。租税負担・構造主要部分は35条側。
【他肢】①④は35条事項。
【切替】35条（説明）vs 37条（契約書）。",3,R6;正解;B
2024,41,1,A,一つ,"【結論】正解B（2）＝二つ。
【根拠】イ・ウが○。アは抹消予定でも内容説明要、エは区域の行為制限の“概要”も説明要。
【整理】予定でも説明、規制は概要も。",3,R6;正解;A
2024,42,2,B,宅地建物取引業者は、宅地又は建物の売買の契約の締結の勧誘をするに際し、宅地建物取 引業者の相手方等に対し、宅地又は建物の引渡しの時期について故意に不実のことを告げた 場合であっても、契約が成立したときに宅地建物取引業法第 37 条の規定により交付すべき 書面に当該事項を正確に記載すればよい。,"【結論】正解B（2）※誤り。
【根拠】不実告知をしておいて“後で37条に正確記載すればOK”にはならない（不当勧誘）。
【他肢】①断定的判断の提供禁止／③自然死の告知原則不要（売買）／④賃貸は原則3年で告知不要。
【要点】“後で書けばOK”は通らない。",3,R6;正解;B
2024,43,4,D,宅地建物取引士証に記載される宅地建物取引士の氏名については現姓を用いなければなら ず、旧姓を併記することは認められていない。,"【結論】正解B（2）。
【根拠】信用・品位を害する行為は私生活上でも処分対象になり得る。
【他肢】①住所変更は証の有無に関係なく変更登録必要／③シール貼付提示可ではない／④旧姓併記は可能。
【覚書】職務外非違も規律対象。",3,R6;正解;D
2024,44,1,A,Ａは、建築工事完了前の建物の売買契約を媒介したときに、37 条書面に記載する当該建 物を特定するために必要な表示について、宅地建物取引業法第 35 条の規定に基づく重要事 項の説明において使用した図書を交付することによって行った。,"【結論】正解B（2）※「違反しないもの」。
【根拠】他肢はいずれも明確に違反となる肢構成の中で②が適法枠。
【他肢】①図書交付での特定×／③引渡時期欠落×／④買主相手にも37条書面交付義務あり。
【注意】肢全体の適法・違法を相対比較で判断。",3,R6;正解;A
2024,45,2,B,自ら売主として新築住宅を宅地建物取引業者ではない買主に引き渡した宅地建物取引業者 は、基準日に係る保証金の供託及び保険契約の締結の状況について届出をしなければ、当該 基準日の翌日から起算して 50 日を経過した日以後においては、新たに自ら売主となる新築 住宅の売買契約を締結してはならない。,"【結論】正解A（1）。
【根拠】直前1年0戸なら届出不要（対象外）。
【他肢】②以後の契約禁止規定なし／③転売で保険は承継／④25㎡以下の算定特例の読み違い。
【押さえ】届出義務の基準年。",3,R6;正解;B
2024,46,1,A,証券化支援業務（買取型）において、機構による譲受けの対象となる住宅の購入に必要な 資金の貸付けに係る金融機関の貸付債権には、当該住宅の購入に付随する当該住宅の改良に 必要な資金は含まれない。,"【結論】正解B（2）※誤り。
【根拠】機構は耐震改修資金の“貸付業務”は行っていない（他の支援枠組み）。
【他肢】①③④は制度どおり。
【ポイント】機構の“やる/やらない”を区別。",3,R6;正解;A
2024,47,4,D,居住の用に供されたことはないが建築後 1 年以上経過した一戸建て住宅について、新築で ある旨を表示することはできない。,"【結論】正解D（4）。
【根拠】完成後1年超は未入居でも“新築”表示不可。
【他肢】①媒体制限なし／②廃屋の明示要／③徒歩所要時間の算定基準は所定換算。
【暗記】新築＝未入居かつ1年未満。",3,R6;正解;D
2024,48,1,A,令和 6 年地価公示（令和 6 年 3 月公表）によれば、令和 5 年 1 月以降の 1 年間の地価の動 向は、三大都市圏・地方圏ともに、全用途平均・住宅地・商業地のいずれも 3 年連続で上昇 した。,"【結論】正解A（1）。
【根拠】R6地価公示：三大都市圏・地方圏とも全用途・住宅地・商業地で上昇（3年連続）。
【他肢】②③④はデータ誤り。
【戦術】統計は最新値の一括暗記。",3,R6;正解;A
2024,49,2,B,高さ 2 m 以下の擁壁であれば、水抜き孔を有しなくても、地震による被害が生じること はない。,"【結論】正解B（2）※最も不適当。
【根拠】低い擁壁でも排水構造は必要。地震被害が“生じない”とは断定できない。
【他肢】①③④は正しい安全配慮。
【心得】“断定的安全”は疑う。",3,R6;正解;B
2024,50,3,C,ブレース構造は、骨組全てに用いることが多く、ラーメン構造など他の構造と併用するこ とはない。,"【結論】正解C（3）※最も不適当。
【根拠】ブレース構造はラーメン構造と併用されることが多い。併用しない、は誤り。
【他肢】①②④は定義どおり。
【図解】骨組＋ブレース＝剛性UP。",3,R6;正解;C
2023,1,1,A,遺産である不動産から、相続開始から遺産分割までの間に生じた賃料債権は、遺産である 不動産が遺産分割によって複数の相続人のうちの一人に帰属することとなった場合、当該不 動産が帰属することになった相続人が相続開始時にさかのぼって取得する。,,3,R5;正解;A
2023,2,1,A,土地の所有者は、境界標の調査又は境界に関する測量等の一定の目的のために必要な範囲 内で隣地を使用することができる場合であっても、住家については、その家の居住者の承諾 がなければ、当該住家に立ち入ることはできない。,,3,R5;正解;A
2023,3,2,B,Ｂが材料を提供して増築した部分に契約不適合がある場合、Ａは工事が終了した日から 1 年以内にその旨をＢに通知しなければ、契約不適合を理由とした修補をＢに対して請求する ことはできない。,,3,R5;正解;B
2023,4,4,D,エ,,3,R5;正解;D
2023,5,4,D,家庭裁判所により選任された管理人は、保存行為として不在者の自宅を修理することがで きるほか、家庭裁判所の許可を得てこれを売却することができる。,,3,R5;正解;D
2023,6,3,C,三つ,,3,R5;正解;C
2023,7,3,C,Ｃには、Ｂに対し、配偶者居住権の設定の登記を備えさせる義務がある。,,3,R5;正解;C
2023,8,3,C,本件売買契約につき、取消しがなされないままＡが成年に達した場合、本件売買契約につ いてＢが反対していたとしても、自らが取消権を有すると知ったＡは、本件売買契約を追認 することができ、追認後は本件売買契約を取り消すことはできなくなる。,,3,R5;正解;C
2023,9,2,B,甲建物の修繕が必要である場合において、ＢがＡに修繕が必要である旨を通知したにもか かわらず、Ａが必要な修繕を直ちにしないときは、Ｂは甲建物の修繕をすることができる。,,3,R5;正解;B
2023,10,3,C,400 万円,,3,R5;正解;C
2023,11,4,D,本件契約がＢの居住のための建物を所有する目的であり契約の更新がない旨を定めていな い契約であって、期間満了する場合において甲土地上に建物があり、Ｂが契約の更新を請求 したとしても、Ａが遅滞なく異議を述べ、その異議に更新を拒絶する正当な事由があると認 められる場合は、本件契約は更新されない。,,3,R5;正解;D
2023,12,3,C,賃借人が建物の引渡しを受けている場合において、当該建物の賃貸人が当該建物を譲渡す るに当たり、当該建物の譲渡人及び譲受人が、賃貸人たる地位を譲渡人に留保する旨及び当 該建物の譲受人が譲渡人に賃貸する旨の合意をしたときは、賃貸人たる地位は譲受人に移転 しない。,,3,R5;正解;C
2023,13,2,B,集会は、区分所有者の 4 分の 3 以上の同意があるときは、招集の手続を経ないで開くこと ができる。,,3,R5;正解;B
2023,14,2,B,何人も、理由の有無にかかわらず、登記官に対し、手数料を納付して、登記簿の附属書類 である申請書を閲覧することができる。,,3,R5;正解;B
2023,15,4,D,地区計画は、用途地域が定められている土地の区域のほか、一定の場合には、用途地域が 定められていない土地の区域にも定めることができる。,,3,R5;正解;D
2023,16,1,A,開発許可を申請しようとする者は、あらかじめ、開発行為に関係がある公共施設の管理者 と協議し、その同意を得なければならない。,,3,R5;正解;A
2023,17,3,C,建築物が防火地域及び準防火地域にわたる場合、その全部について準防火地域内の建築物 に関する規定を適用する。,,3,R5;正解;C
2023,18,1,A,法第 53 条第 1 項及び第 2 項の建(cid:7789)率制限に係る規定の適用については、準防火地域内に ある準耐火建築物であり、かつ、街区の角にある敷地又はこれに準ずる敷地で特定行政庁が 指定するものの内にある建築物にあっては同条第 1 項各号に定める数値に 10 分の 2 を加え たものをもって当該各号に定める数値とする。,,3,R5;正解;A
2023,19,1,A,都道府県知事は、関係市町村長の意見を聴いて、宅地造成工事規制区域内で、宅地造成に 伴う災害で相当数の居住者その他の者に危害を生ずるものの発生のおそれが大きい一団の造 成宅地の区域であって、一定の基準に該当するものを、造成宅地防災区域として指定するこ とができる。,,3,R5;正解;A
2023,20,4,D,土地区画整理組合は、仮換地を指定しようとする場合においては、あらかじめ、その指定 について、土地区画整理審議会の同意を得なければならない。,,3,R5;正解;D
2023,21,2,B,自己の所有する面積 4 アールの農地を農作物の育成又は養畜の事業のための農業用施設に 転用する場合は、法第 4 条第 1 項の許可を受ける必要はない。,,3,R5;正解;B
2023,22,1,A,"都市計画区域外において、国から一団の土地である 6,000 m2 と 5,000 m2 の土地を購入し た者は、事後届出を行う必要はない。",,3,R5;正解;A
2023,23,1,A,売主Ａと買主Ｂが土地の譲渡契約書を 3 通作成し、Ａ、Ｂ及び仲介人Ｃがそれぞれ 1 通ず つ保存する場合、当該契約書 3 通には印紙税が課される。,,3,R5;正解;A
2023,24,4,D,不動産取得税は、市町村及び特別区に対して、課することができない。,,3,R5;正解;D
2023,25,4,D,取引事例比較法は、近隣地域若しくは同一需給圏内の類似地域等において対象不動産と類 似の不動産の取引が行われている場合又は同一需給圏内の代替競争不動産の取引が行われて いる場合に有効である。,,3,R5;正解;D
2023,26,3,C,三つ,,3,R5;正解;C
2023,27,4,D,既存住宅の貸借の媒介を行う宅地建物取引業者は、宅地建物取引業法第 37 条の規定によ り交付すべき書面に建物の構造耐力上主要な部分等の状況について当事者の双方が確認した 事項を記載しなければならない。,,3,R5;正解;D
2023,28,3,C,三つ,,3,R5;正解;C
2023,29,2,B,宅地建物取引業者Ｂ社の取締役が、所得税法の規定に違反したことにより罰金の刑に処せ られたとしても、Ｂ社の免許は取り消されることはない。,,3,R5;正解;B
2023,30,1,A,一つ,,3,R5;正解;A
2023,31,4,D,販売する宅地又は建物の広告に関し、著しく事実に相違する表示をした場合、監督処分の 対象となるだけでなく、懲役若しくは罰金に処せられ、又はこれを併科されることもある。,,3,R5;正解;D
2023,32,4,D,宅地建物取引業者Ｇ（丁県知事免許）が、その業務に関し展示会を丁県内で実施する場合、 展示会を実施する場所において売買契約の締結（予約を含む。）又は売買契約の申込みの受 付を行うときは、Ｇは展示会での業務を開始する日の 5 日前までに展示会を実施する場所に ついて丁県知事に届け出なければならない。,,3,R5;正解;D
2023,33,1,A,甲宅地を所有する宅地建物取引業者Ａが、乙宅地を所有する宅地建物取引業者ではない個 人Ｂと、甲宅地と乙宅地の交換契約を締結するに当たって、Ｂに対して、甲宅地に関する重 要事項の説明を行う義務はあるが、乙宅地に関する重要事項の説明を行う義務はない。,,3,R5;正解;A
2023,34,3,C,三つ,,3,R5;正解;C
2023,35,4,D,Ａが、売却の媒介を依頼している宅地建物取引業者Ｃの事務所でＢから買受けの申込みを 受けた場合、Ｂは、申込みの日から 8 日以内に書面により当該申込みの撤回を申し出ても、 申込みの撤回を行うことができない。,,3,R5;正解;D
2023,36,3,C,三つ,,3,R5;正解;C
2023,37,3,C,宅地建物取引業者の従業者は、宅地の買受けの申込みをした者から請求があった場合には、 その者が宅地建物取引業者であっても、その者に従業者であることを証する証明書を提示す る必要がある。,,3,R5;正解;C
2023,38,2,B,二つ,,3,R5;正解;B
2023,39,2,B,Ａは、手付金の保全措置を保証保険契約を締結することにより講ずる場合、保険期間は保 証保険契約が成立した時から宅地建物取引業者が受領した手付金に係る宅地の引渡しまでの 期間とすればよい。,,3,R5;正解;B
2023,40,4,D,Ａは、Ｂが他の宅地建物取引業者の媒介又は代理によって売買の契約を成立させたときの 措置を法第 34 条の 2 第 1 項の規定に基づく書面に記載しなければならない。,,3,R5;正解;D
2023,41,2,B,宅地建物取引業者Ａ（甲県知事免許）で専任の宅地建物取引士として従事しているＢ（甲 県知事登録）が、勤務実態のない宅地建物取引業者Ｃ（乙県知事免許）において、自らが専 任の宅地建物取引士である旨の表示がされていることを許した場合には、乙県知事は、Ｂに 対し、必要な指示をすることができる。,,3,R5;正解;B
2023,42,3,C,三つ,,3,R5;正解;C
2023,43,4,D,Ａは、天災その他不可抗力による損害の負担に関する定めがあるときは、その内容を 37 条書面に記載しなければならない。,,3,R5;正解;D
2023,44,1,A,保証協会の社員は、自らが取り扱った宅地建物取引業に係る取引の相手方から当該取引に 関する苦情について解決の申出が保証協会にあり、保証協会から関係する資料の提出を求め られたときは、正当な理由がある場合でなければ、これを拒んではならない。,,3,R5;正解;A
2023,45,4,D,ＡＢ間の売買契約において、当該住宅の構造耐力上主要な部分に瑕 (cid:12695) 疵 (cid:12681) 担保責任を負わない旨の特約があった場合においても、Ａは住宅販売瑕 (cid:12681) 又は住宅販売瑕 (cid:12695) 疵 担保責任保険契約の締結を行う義務を負う。,,3,R5;正解;D
2023,46,2,B,機構は、証券化支援事業（買取型）において、新築住宅に対する貸付債権のみを買取りの 対象としている。,,3,R5;正解;B
2023,47,2,B,直線距離で 50 m 以内に街道が存在する場合、物件名に当該街道の名称を用いることがで きる。,,3,R5;正解;B
2023,48,1,A,令和 3 年度宅地建物取引業法の施行状況調査（令和 4 年 9 月公表）によれば、令和 4 年 3 月末における宅地建物取引業者の全事業者数は 14 万業者を超え、 8 年連続で増加した。,,3,R5;正解;A
2023,49,2,B,谷底低地に軟弱層が厚く堆積している所では、地震動が凝縮されて、震動が小さくなる。,,3,R5;正解;B
2023,50,3,C,鉄筋コンクリート構造では、鉄筋とコンクリートを一体化するには、断面が円形の棒鋼で ある丸鋼の方が表面に突起をつけた棒鋼である異形棒鋼より、優れている。,,3,R5;正解;C
